scientificName,subtitle,allianceType,fullName,link,MCV (1995),NVCS (2009),Calveg,Holland,Munz,WHR,CDFW CA Code,Formation Class,Formation Subclass,Formation,Division,Macro Group,Group,Life forms,Seed storage,Seed longevity,Mode of dispersal,Germination agents,Mode of sprouting,Survivability after fire/disturbance,Disturbance-stimulated flowering,Recruitment,Fire return interval,Seasonality,Size/extent,Complexity,Intensity,Severity,Type,Regional knowledge
Artemisia cana,Silver sagebrush wet shrubland,Shrubland Alliance,Artemisia cana Shrubland Alliance,https://vegetation.cnps.org/alliance/139,Low sagebrush series,"Artemisia cana (ssp. bolanderi, ssp viscidula) shrub herbaceous alliance, Artemisia cana (ssp. bolanderi, ssp viscidula) shrubland alliance","Low sagebrush, Silver sagebrush",Subalpine sagebrush scrub,Sagebrush scrub,Sagebrush,35.150.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,"Temperate Grassland, Meadow, and Shrubland",Vancouverian and Rocky Mountain Grassland and Shrubland,Western Cordilleran Montane Shrubland and Grassland,Western Cordilleran montane deciduous scrub,Shrub; winter deciduous,Soil; transient,Short,Animal; wind,None,Underground structures,Fire-sensitive to fire-hardy; high flammability (?); no/low to high sprouter,No,Medium to high,Medium (30-100+ years),Summer-early fall,Small to medium,Low to moderate,Low to moderate,High to very high,Passive-active crown fire,Eastern Sierra Nevada; eastern Oregon
Artemisia californica - Salvia mellifera,California sagebrush - black sage scrub,Shrubland Alliance,Artemisia californica - Salvia mellifera Shrubland Alliance,https://vegetation.cnps.org/alliance/138,California sagebrush-black sage series,Artemisia californica-Salvia mellifera shrubland alliance,California sagebrush,"Diegan coastal sage scrub, Riversidian upland sage scrub",Coastal sage scrub,Coastal scrub,32.120.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Coastal Scrub,Central and South Coastal Californian coastal sage scrub,Shrub; drought deciduous,Soil,Medium to long,Wind,Chemical (for some); none (photoperiod),Underground structures,Fire-sensitive; canopy architecture susceptible; no/low sprouter,No,Low to medium,Medium (20-70+ years),Late summer-fall,Medium to large—up to and beyond stand,Low,Moderate to high,High to very high,Active-independent crown fire,"South coastal, inland valleys"
Artemisia arbuscula ssp. arbuscula,Little sagebrush scrub,Shrubland Alliance,Artemisia arbuscula ssp. arbuscula Shrubland Alliance,https://vegetation.cnps.org/alliance/134,Low sagebrush series,Artemisia arbuscula ssp. arbuscula shrub herbaceous alliance,"Low sagebrush, Great Basin mixed scrub","Subalpine sagebrush scrub, White mountain fell-field",Sagebrush scrub,Sagebrush,35.120.00,Xeromorphic Scrub and Herb Vegetation (Semi-Desert),Cool Semi-Desert Scrub and Grassland,Cool Semi-Desert Scrub and Grassland,Western North American Cool Semi-Desert Scrub and Grassland,Western North America Dwarf Sage Shrubland and Steppe,Intermountain low sage shrubland and steppe,Perennial; shrub,Transient,Medium,Wind,Stratification - Winter; Light,None,Fire-sensitive,No,Low,Medium to long,Summer-early fall,Small on low-productivity sites; medium on high-productivity sites,Medium to high,Low to moderate,Moderate to high,Surface to passive crown fire,Transmontane (Modoc Plateau)
Arctostaphylos viscida,Whiteleaf manzanita chaparral,Shrubland Alliance,Arctostaphylos viscida Shrubland Alliance,https://vegetation.cnps.org/alliance/133,White leaf manzanita series,Arctostaphylos viscida shrubland alliance,Whiteleaf manzanita,"Gabbroic northern mixed chaparral, Mixed montane chaparral, Montane manzanita chaparral, Serpentine chaparral, Mixed serpentine chaparral, Upper Sonoran manzanita chaparral",Chaparral,"Mixed chaparral, Montane chaparral",37.305.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Chaparral,Californian xeric chaparral,Shrub; evergreen,Soil,Long,Animal,Chemical; heat; scarification; stratification—winter,None,Fire-sensitive; thin epidermis; high flammability; no/low sprouting; canopy architecture susceptible,No,Episodic,Medium (20-70+ years),Late summer-fall,Medium to large—up to and beyond stand,Low to moderate,High,Moderate to very high,Active-independent crown fire,"Cascades, North Coast, and Sierra Nevada"
Arctostaphylos silvicola,Silverleaf manzanita chaparral,Provisional Shrubland Alliance,Arctostaphylos silvicola Provisional Shrubland Alliance,https://vegetation.cnps.org/alliance/131,Woolly leaf manzanita series,Arctostaphylos tomentosa shrubland alliance,Manzanita chaparral,Central maritime chaparral,Chaparral,Mixed chaparral,37.320.00,,,,,,,,,,,,,,,,,,,,,,,
"Arctostaphylos (purissima, rudis)",Burton Mesa chaparral,Shrubland Special Stands,"Arctostaphylos (purissima, rudis) Shrubland Special Stands",https://vegetation.cnps.org/alliance/130,Woolly leaf manzanita series,Not treated,Manzanita chaparral,Central maritime chaparral,Chaparral,Mixed chaparral,37.322.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Chaparral,Californian maritime chaparral,,,,,,,,,,,,,,,,,
Alnus rhombifolia,White alder groves,Forest & Woodland Alliance,Alnus rhombifolia Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/13,White alder series,Alnus rhombifolia temporarily flooded forest alliance,"Riparian mixed shrub, White alder","White alder riparian forest, Southern sycamore-alder riparian woodland",Foothill woodland,Montane riparian,61.420.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Flooded and Swamp Forest,Western Cordilleran montane-boreal riparian scrub,Vancouverian riparian deciduous forest,Tree; winter deciduous,Transient,Short,Water/hydrological; wind,None,Buds on large branches or trunks; buds on small branches; underground structures,Fire-hardy; high sprouter,No,Episodic; low to high,Medium to long (dependent on neighboring alliances; half the median frequency of surrounding forests),Summer-early fall,Medium to up to stand size,Medium to high,Low to moderate,Moderate to high,Surface-passive crown fire,"Southwestern California, Sierra Nevada and foothills, Central Valley, Central Coast ranges"
Arctostaphylos pumila,Sandmat manzanita chaparral,Provisional Shrubland Alliance,Arctostaphylos pumila Provisional Shrubland Alliance,https://vegetation.cnps.org/alliance/129,Woolly leaf manzanita series,Arctostaphylos tomentosa shrubland alliance,Manzanita chaparral,Central maritime chaparral,Chaparral,Mixed chaparral,37.318.00,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos pungens - Arctostaphylos pringlei,Pointleaf manzanita - pink-bract manzanita chaparral,Shrubland Alliance,Arctostaphylos pungens - Arctostaphylos pringlei Shrubland Alliance,https://vegetation.cnps.org/alliance/128,Not treated,Not treated,"Upper montane mixed chaparral, Manzanita chaparral","Northern mixed chaparral, Upper Sonoran manzanita chaparral",Chaparral,Mixed chaparral,37.310.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Chaparral,Californian pre-montane chaparral,,,,,,,,,,Medium (20-50+ years),Late summer-fall,Medium to large—up to stand,Low to moderate,Moderate to high,Moderate to very high,Dependent crown fire,Southern California
Arctostaphylos patula - Arctostaphylos nevadensis,Green leaf manzanita - Pinemat manzanita chaparral,Shrubland Alliance,Arctostaphylos patula - Arctostaphylos nevadensis Shrubland Alliance,https://vegetation.cnps.org/alliance/127,Green leaf manzanita series,Arctostaphylos patula shrubland alliance,"Great Basin-Mixed chaparral transition, Greenleaf manzanita, Pinemat manzanita, Upper montane mixed chaparral","Montane manzanita chaparral, Upper Sonoran manzanita chaparral",Chaparral,Montane chaparral,37.303.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,"Temperate Grassland, Meadow, and Shrubland",Western North America Interior Sclerophyllous Shrubland,Western North American Cool/Montane Sclerophyllous Evergreen Scrub,Western Cordilleran montane sclerophyll scrub,Shrub; evergreen,Soil,Medium to long,Gravity; animal,"Scarification: fire, charred wood",Buds on small branches,"Fire-sensitive, no/low sprouter",No,Episodic,Medium (20-50 years),Late summer-fall,Medium to large—up to stand,Low to moderate,Moderate to high,Moderate to very high,Active-independent crown fire,Sierra Nevada
Arctostaphylos pajaroensis,Pajaro manzanita chaparral,Shrubland Alliance,Arctostaphylos pajaroensis Shrubland Alliance,https://vegetation.cnps.org/alliance/126,Woolly leaf manzanita series,Arctostaphylos tomentosa shrubland alliance,Manzanita chaparral,Central maritime chaparral,Chaparral,Mixed chaparral,37.316.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Chaparral,Californian maritime chaparral,Shrub; evergreen,Soil,Long,Gravity,Heat,None,Fire-sensitive; no/low sprouter?,No,Low?,Medium (30-100+ yrs),Late summer-fall,Medium to large—up to and beyond stand,Low to moderate,High,Very high,Active-independent crown fire,Central Coast; Pajaro Hills
Arctostaphylos myrtifolia,Ione manzanita chaparral,Shrubland Alliance,Arctostaphylos myrtifolia Shrubland Alliance,https://vegetation.cnps.org/alliance/124,Ione manzanita series,Arctostaphylos myrtifolia shrubland alliance,Manzanita chaparral,Ione chaparral,Chaparral,Mixed chaparral,37.304.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Chaparral,Californian maritime chaparral,Shrub; evergreen,Soil,Long,Animal,Heat; scarification?,none,Fire-sensitive; no/low sprouter,No,Episodic,Medium (30-100+ years),Late summer-fall,Medium to large—up to and beyond stand,Low to moderate (more complex when xeric),Moderate to high,High to very high,Active-independent crown fire,Amador Co.
Arctostaphylos morroensis,Morro manzanita chaparral,Shrubland Alliance,Arctostaphylos morroensis Shrubland Alliance,https://vegetation.cnps.org/alliance/123,Woolly leaf manzanita series,Arctostaphylos tomentosa shrubland alliance,Manzanita chaparral,Central maritime chaparral,Chaparral,Mixed chaparral,37.315.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Chaparral,Californian maritime chaparral,Shrub; evergreen,Soil,Long,Gravity,Heat,None,Fire-sensitive; no/low sprouter,No,Low,Medium (50-100+ years),Late summer-fall,Medium to large—up to and beyond stand,Low to moderate,High,High to very high,Active-independent crown fire,Central Coast
Arctostaphylos montereyensis,Monterey manzanita chaparral,Provisional Shrubland Alliance,Arctostaphylos montereyensis Provisional Shrubland Alliance,https://vegetation.cnps.org/alliance/122,Woolly leaf manzanita series,Arctostaphylos tomentosa shrubland alliance,Manzanita chaparral,Central maritime chaparral,Chaparral,Mixed chaparral,37.314.00,,,,,,,,,,,,,,,,,,,,,,,
Aesculus californica,California buckeye groves,Forest & Woodland Alliance,Aesculus californica Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/12,California buckeye series,Aesculus californica woodland alliance,California buckeye,"Mixed north slope forest, Mainland cherry forest",Foothill woodland,Montane hardwood,75.100.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,Tree; drought deciduous,Transient,Short,Animal (rarely); gravity; water/hydrological,None,Buds on large branches or trunks; underground structures,Fire-hardy; high sprouter,No,Low to medium,Short (1-10 years),Summer-early fall (starts earlier now because of annual grasses),Medium to up to stand size,Low,Low to moderate,Low to moderate,Surface-passive crown,"Sierra Nevada and foothills; Central Valley, Central Coast ranges"
Arctostaphylos hooveri,Hoover’s manzanita chaparral,Shrubland Alliance,Arctostaphylos hooveri Shrubland Alliance,https://vegetation.cnps.org/alliance/119,Woolly leaf manzanita series,Arctostaphylos tomentosa shrubland alliance,Manzanita chaparral,"Northern mixed chaparral, Central maritime chaparral",Chaparral,Mixed chaparral,37.312.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Chaparral,Californian maritime chaparral,Shrub; evergreen,Soil,Long,Gravity; animal,Chemical; heat,None,Fire-sensitive,No,,Medium (50-100+ years),Late summer-fall,Medium to large—up to and beyond stand,Low to moderate,High,Very high,Active-independent crown fire,Central Coast
Arctostaphylos hookeri,Hooker’s manzanita chaparral,Provisional Shrubland Alliance,Arctostaphylos hookeri Provisional Shrubland Alliance,https://vegetation.cnps.org/alliance/118,Eastwood manzanita series,Arctostaphylos hookeri shrubland alliance,Manzanita chaparral,Northern maritime chaparral,Chaparral,Mixed chaparral,37.321.00,,,,,,,,,,,,,,,,,,,,,,,
Arctostaphylos glauca,Bigberry manzanita chaparral,Shrubland Alliance,Arctostaphylos glauca Shrubland Alliance,https://vegetation.cnps.org/alliance/117,"Bigberry manzanita series, Chamise-bigberry manzanita series",Arctostaphylos glauca shrubland alliance,"Chamise, Manzanita chaparral","Northern mixed chaparral, Upper Sonoran manzanita chaparral, Northern north slope chaparral, Southern north slope chaparral",Chaparral,"Chamise-redshank chaparral, Mixed chaparral",37.301.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Chaparral,Californian xeric chaparral,Shrub; evergreen,Soil,Long,Animal; gravity,Chemical; heat,None,Fire-sensitive; no/low sprouting; canopy architecture susceptible,No,Low to medium,Medium (20-100+ years),Late summer-fall,Medium to large—up to and beyond stand,Low to moderate,High,Very high,Active-independent crown fire,Central and southern California
Arctostaphylos glandulosa,Eastwood manzanita chaparral,Shrubland Alliance,Arctostaphylos glandulosa Shrubland Alliance,https://vegetation.cnps.org/alliance/116,"Chamise-Eastwood manzanita series, Eastwood manzanita series",Arctostaphylos glandulosa shrubland alliance,"Chamise, Manzanita chaparral","Northern mixed chaparral, Mafic southern mixed chaparral, Chamise chaparral, Upper Sonoran manzanita chaparral",Chaparral,"Chamise-redshank chaparral, Mixed chaparral",37.302.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Chaparral,Californian pre-montane chaparral,Shrub; evergreen,Soil,Long,Animal; gravity,Chemical; heat,Underground structures,Fire-hardy; high sprouter,No,Low to medium,Medium (30-100+ years),Late summer-fall,Medium to large—up to and beyond stand,Low to moderate,High to very high,High to very high,Active-independent crown fire,Southern California
"Arctostaphylos (crustacea, tomentosa)",Brittle leaf - woolly leaf manzanita chaparral,Shrubland Alliance,"Arctostaphylos (crustacea, tomentosa) Shrubland Alliance",https://vegetation.cnps.org/alliance/115,Woolly leaf manzanita series,Arctostaphylos tomentosa shrubland alliance,Manzanita chaparral,Central maritime chaparral,Chaparral,Mixed chaparral,37.308.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Mediterranean Scrub and Grassland,Mediterranean Scrub,California Scrub,California Chaparral,Californian maritime chaparral,Perennial; shrub,,,,,,,,,Medium (30-100+ years),Late summer-fall,Medium to large—up to and beyond stand,Low to moderate,High,High to very high,Active-independent crown fire,Central Coast
Acer negundo,Box-elder forest and woodland,Forest & Woodland Alliance,Acer negundo Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/11,Not treated,Acer negundo seasonally flooded forest alliance,Fremont cottonwood,"North Coast riparian forests, Central Coast riparian forest, Great Valley mixed riparian forest",Not treated,"Fresh emergent wetland, Valley foothill riparian",61.440.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Warm Temperate Flooded and Swamp Forest,"Southwestern North American Riparian, Flooded and Swamp Forest",Southwestern North American riparian evergreen and deciduous woodland,Tree; winter deciduous,,Short,Animal; wind,,"Underground structures (exposed roots, root crown, or stump)",Fire-sensitive; thin epidermis,,High,,,,,,,,
Alnus incana,Mountain alder thicket,Shrubland Alliance,Alnus incana Shrubland Alliance,https://vegetation.cnps.org/alliance/109,"Montane wetland shrub habitat, Mountain alder series","Alnus incana seasonally flooded shrubland alliance, Alnus incana temporarily flooded shrubland alliance","Riparian mixed shrub, Mountain alder",Montane riparian scrub,Not treated,Montane riparian,63.210.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Flooded and Swamp Forest,Western Cordilleran montane-boreal riparian scrub,Western North American montane-subalpine riparian scrub,Shrub; winter deciduous,Soil?,Medium?,Wind; water/hydrological,None,Underground structures,Fire-hardy; low flammability; high sprouter,No,High,Depends on neighboring alliances. Half the median frequency of surrounding forests,Summer-fall,Small to medium,High,Low to high,Low to high,Surface-crown fire,"Klamath, Cascade, and North Coast ranges"
Allenrolfea occidentalis,Iodine bush scrub,Shrubland Alliance,Allenrolfea occidentalis Shrubland Alliance,https://vegetation.cnps.org/alliance/108,Iodine bush series,Allenrolfea occidentalis shrubland alliance,"Greasewood, Alkaline mixed scrub","Desert sink scrub, Desert greasewood scrub, Valley sink scrub",Alkali sink,Alkali desert scrub,36.120.00,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),Temperate and Boreal Shrubland and Grassland,Temperate and Boreal Salt Marsh,Western North American Interior Alkali-Saline Wetland,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,Southwestern North American salt basin and high marsh group,"Shrub, evergreen, winter deciduous; stem succulent",None,Short,Wind,Inundation (moisture),Buds on small branches (stem); underground structure (root crown),Fire-hardy; high sprouter,No,High,Truncated long,Spring-summer-fall,Small,High,Low,Moderate,Surface-passive crown fire,Southeastern deserts
