scientificName,subtitle,allianceType,fullName,link,MCV (1995),NVCS (2009),Calveg,Holland,Munz,WHR,CDFW CA Code,Formation Class,Formation Subclass,Formation,Division,Macro Group,Group,Life forms,Seed storage,Seed longevity,Mode of dispersal,Germination agents,Mode of sprouting,Survivability after fire/disturbance,Disturbance-stimulated flowering,Recruitment,Fire return interval,Seasonality,Size/extent,Complexity,Intensity,Severity,Type,Regional knowledge
Yucca brevifolia,Joshua tree woodland,Woodland Alliance,Yucca brevifolia Woodland Alliance,https://vegetation.cnps.org/alliance/99,Joshua tree series,"Yucca brevifolia wooded herbaceous alliance, Yucca brevifolia wooded shrubland alliance",Joshua tree,"Mojave mixed woody scrub, Mojave mixed steppe, Joshua tree woodland",Joshua tree woodland,Joshua tree,33.170.00,Xeromorphic Scrub and Herb Vegetation (Semi-Desert),Warm Semi-Desert Scrub and Grassland,Warm Semi-Desert Scrub and Grassland,Sonoran and Chihuahuan Semi-Desert Scrub and Grassland,Mojavean-Sonoran Desert Scrub,Mojavean upper desert scrub,"Shrub; evergreen; rhizomatous, clonal",Soil,Short to medium,Animal; wind,Stratification—winter? (improves germination),Underground structures (weak),Fire-sensitive; no/low sprouter,No,Low,Long,Spring-summer-fall,Medium to large,Multiple,Moderate,Moderate to high,Passive-active crown fire,Southeastern California deserts
Washingtonia filifera,California fan palm oasis,Woodland Alliance,Washingtonia filifera Woodland Alliance,https://vegetation.cnps.org/alliance/98,Fan palm series,Washingtonia filifera seasonally flooded woodland alliance,Fan palm,Desert fan palm oasis woodland,Creosote bush scrub,Palm oasis,61.520.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Warm Temperate Flooded and Swamp Forest,"Southwestern North American Riparian, Flooded and Swamp Forest",Southwestern North American riparian evergreen and deciduous woodland,Tree; evergreen,Soil,Medium,Animal; water,,None,Fire-hardy; high sprouter,No,High,,Any season,,,Low,Low,,
Umbellularia californica,California bay forest and woodland,Forest & Woodland Alliance,Umbellularia californica Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/97,California bay series,Umbellularia californica forest alliance,"Coastal mixed hardwood, California bay",California bay forest,Mixed evergreen forest,Coastal oak woodland,74.100.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,Tree; evergreen,Transient,Short,Animal; gravity; water/hydrological,None,Buds on large branches or trunks; underground structures,Fire-hardy; high sprouter,No,High,Medium (30-100+ years),Summer-early fall,Small to medium; up to or beyond stand size,Low to moderate,Low to high,Moderate to high,Surface-passive crown; passive-active crown,Coastal ranges
Tsuga mertensiana,Mountain hemlock forest and woodland,Forest & Woodland Alliance,Tsuga mertensiana Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/96,Mountain hemlock series,Tsuga mertensiana forest alliance,"Mountain hemlock, Subalpine conifers",Whitebark pine-mountain hemlock forest,Subalpine forest,Subalpine conifer,84.100.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Vancouverian Subalpine Forest,Vancouverian mesic montane coniferous forest and woodland,Tree; evergreen,Transient,Short,Wind,Stratification—winter,Buds on small branches (layers),Fire-sensitive; high flammability; no/low sprouter; canopy architecture susceptible,No,Episodic,Long,Late summer (short),"Small, individual tree strikes or clumps of individuals is most common",High,Low,Low to high,Surface-passive crown,"Klamath Mountains, Cascades, Sierra Nevada"
Tsuga heterophylla,Western hemlock forest,Forest Alliance,Tsuga heterophylla Forest Alliance,https://vegetation.cnps.org/alliance/95,Western hemlock series,Pseudotsuga menziesii-Tsuga heterophylla forest alliance,Pacific Douglas-fir,"Western hemlock forest, Coastal Douglas-fir-western hemlock forest",Douglas fir forest,Douglas fir,84.200.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Vancouverian  Rainforest,Vancouverian hypermaritime lowland rainforest,Tree; evergreen,Transient,Short,Wind,Stratification—winter,Buds on small branches,Fire-sensitive; thin epidermis; high flammability; no/low sprouter; canopy architecture susceptible,No,High,Truncated long,Summer-early fall,Small,Multiple,Multiple,Multiple,Multiple,North Coast
Sequoiadendron giganteum,Giant sequoia forest and woodland,Forest & Woodland Alliance,Sequoiadendron giganteum Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/94,Giant sequoia series,Sequoiadendron giganteum forest alliance,"Big tree (Giant sequoia), Mixed conifer-Giant sequoia",Big tree forest,Yellow pine forest,Sierran mixed conifer,86.200.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Californian-Vancouverian Montane and Foothill Forest,Californian montane conifer forest,Tree; evergreen,Canopy; transient,Short; long,Animal; wind,None,None,Fire-hardy; thick epidermis; low flammability; canopy architecture resistant,No,Episodic (fire dependent),Short (1-32 years),Summer-early fall,Small to medium,High,Low to moderate,Low to moderate,Surface-passive crown fire,Sierra Nevada
Sequoia sempervirens,Redwood forest and woodland,Forest & Woodland Alliance,Sequoia sempervirens Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/93,Redwood series,"Sequoia sempervirens forest alliance, Sequoia sempervirens-Pseudotsuga menziesii forest alliance","Redwood-Douglas-fir, Redwood","North Coast alluvial redwood forest, Upland redwood forest",Redwood forest,Redwood,86.100.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Vancouverian  Rainforest,Vancouverian hypermaritime lowland rainforest,Tree; evergreen,Transient,Short,Gravity; wind,None,Buds on large branches or trunk; underground structures,Fire-hardy; high sprouter,No,Low,Short to long,Summer-early fall,Small to medium,Moderate,Moderate,Low,Surface-passive crown fire,Central and North Coast ranges
"Schinus (molle, terebinthifolius) - Myoporum laetum",Pepper tree or Myoporum groves,Forest & Woodland Semi-Natural Alliance,"Schinus (molle, terebinthifolius) - Myoporum laetum Forest & Woodland Semi-Natural Alliance",https://vegetation.cnps.org/alliance/92,Not treated,Not treated,Non-native/ornamental hardwood,"Southern riparian forest, Southern riparian scrub",Not treated,Valley foothill riparian,79.200.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,North American Introduced Evergreen Broadleaf and Conifer Forest,Introduced North American Mediterranean woodland and forest,Introduced North American Mediterranean woodland and forest,,,,,,,,,,,,,,,,,
Salix lucida ssp. lasiandra,Shining willow groves,Forest & Woodland Alliance,Salix lucida ssp. lasiandra Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/91,Pacific willow series,"Salix lucida seasonally flooded forest alliance, Salix lucida temporarily flooded shrubland alliance, Salix lucida temporarily flooded woodland alliance","Willow, Willow-Alder","Freshwater swamp, Central Coast cottonwood-sycamore riparian forest, Southern cottonwood-willow riparian forest, Great Valley mixed riparian forest, Central Coast riparian scrub, Southern willow scrub, Great Valley willow scrub",Not treated,Valley foothill riparian,61.204.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Flooded and Swamp Forest,Western Cordilleran montane-boreal riparian scrub,Vancouverian riparian deciduous forest,Tree; shrub; winter deciduous,Transient,Short,Water/hydrological; wind,None,Buds on small branches; underground structures,Fire-hardy; high sprouter,No,Low to medium; episodic,Dependent on neighboring alliance,Summer-early fall,Small; up to stand size,Low to high,Low to moderate,Low to moderate,Surface-passive crown fire,Southwestern California
Quercus wislizeni - Quercus parvula (tree),Interior live oak - shreve oak woodland and forest,Forest & Woodland Alliance,Quercus wislizeni - Quercus parvula (tree) Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/88,Interior live oak series,Quercus wislizeni woodland alliance,Interior live oak,"Interior live oak woodland, Digger pine-oak woodland, Interior live oak forest",Northern oak woodland,"Blue oak woodland, Montane hardwood",71.080.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,"Tree, Shrub",,,,,,,,,Short to medium (5-15 years in open woodlands; 50-100 years in forests),Summer-early fall,Medium to large—up to stand size and larger,Low,Low to high,Low to high,Surface; passive crown,"Coast Ranges, Sierra Nevada foothills, southern California"
"Quercus (agrifolia, douglasii, garryana, kelloggii, lobata, wislizeni)",Mixed oak forest and woodland,Forest & Woodland Alliance,"Quercus (agrifolia, douglasii, garryana, kelloggii, lobata, wislizeni) Forest & Woodland Alliance",https://vegetation.cnps.org/alliance/86,Mixed oak series,"Quercus (agrifolia, douglasii, kelloggii, lobata, wislizeni) forest alliance","Coastal mixed hardwood, Interior live oak","Oak woodland, Oak forest",Northern oak woodland,"Coastal oak woodland, Montane hardwood",71.100.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,Tree; evergreen,Transient,Short,Animal; gravity,None,Buds on large branches or trunks; underground structures?,Fire-hardy; thick epidermis; low flammability; high sprouter,No,Low to medium; episodic,,,,,,,,
Quercus lobata,Valley oak woodland and forest,Woodland Alliance,Quercus lobata Woodland Alliance,https://vegetation.cnps.org/alliance/84,Valley oak series,Quercus lobata woodland alliance,Valley oak,Valley oak woodland,Northern oak woodland,Valley oak woodland,71.040.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,Tree; winter deciduous,Soil; transient,Short,Animal; gravity,None,Buds on large branches or trunks; underground structures,Fire-hardy; thick epidermis; high sprouter,No,Low,Short to medium (5-100+ years),Summer-early fall,Medium to large; up to or beyond stand size,Low to moderate,Low to moderate,Low to moderate,Surface-passive crown,"Sierra Nevada and foothills, southwestern California"
Quercus kelloggii,California black oak forest and woodland,Forest & Woodland Alliance,Quercus kelloggii Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/83,Black oak series,"Quercus kelloggii forest alliance, Quercus kelloggii temporarily flooded woodland alliance",California black oak,"Black oak woodland, Black oak forest",Mixed evergreen forest,Montane hardwood,71.010.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,Tree; winter deciduous,Transient; soil,Short,Animal; gravity,None,Buds on large branches or trunks; underground structures,Fire-hardy to fire-sensitive; thin epidermis; high sprouter,No,Medium,Short,Summer-early fall,Medium to large—up to stand size,Low to high,Low to moderate,Low to moderate,Surface-passive crown,Fire characteristics with setting
Quercus garryana (tree),Oregon white oak woodland and forest,Forest & Woodland Alliance,Quercus garryana (tree) Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/82,Oregon white oak series,"Quercus garryana forest alliance, Quercus garryana wooded herbaceous alliance, Quercus garryana woodland alliance","Coastal mixed hardwood, Oregon white oak","Oregon oak woodland, Mixed north cismontane woodland",Northern oak woodland,Montane hardwood,71.030.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Californian-Vancouverian Montane and Foothill Forest,Vancouverian evergreen broadleaf and mixed forest,Tree; winter deciduous,Transient,Short,Animal; gravity,None,Buds on large branches or trunks; underground structures,Fire-hardy; high sprouter,No,Low,Short (3-30 years),Summer-early fall,Medium to large—up to stand size,Low,Low (can be moderate where conifers are present),Low,Surface-passive crown,"Klamath, Cascade, and North Coast ranges"
Quercus engelmannii,Engelmann oak woodland and forest,Forest & Woodland Alliance,Quercus engelmannii Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/81,Engelmann oak series,Quercus engelmannii woodland alliance,Engelmann oak,"Open Engelmann oak woodland, Dense Engelmann oak woodland",Southern oak woodland,Coastal oak woodland,71.070.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,Tree; drought deciduous,Transient,Short,Animal,None,Buds on large branches or trunks; underground structures,Fire-hardy; high sprouter,No,Low,Medium (30-100+ years),Summer-early fall,Medium to large—up to or beyond stand size,Low,Low to moderate,Low to high,Surface-passive crown,Ecological and fire characteristics vary
Quercus douglasii,Blue oak woodland and forest,Forest & Woodland Alliance,Quercus douglasii Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/80,Blue oak series,Quercus douglasii woodland alliance,Blue oak,"Blue oak woodland, Alvord oak woodland, Open digger pine woodland, Digger pine-oak woodland, Juniper-oak cismontane woodland",Foothill woodland,"Blue oak woodland, Blue oak-foothill pine",71.020.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,Tree; winter deciduous,Transient,Short,Animal; gravity,None,Buds on large branches or trunks; underground structures,Fire-hardy to fire-sensitive; low/no sprouter to high sprouter (varies among populations),No,Low,Short (5-15 years),Summer-early fall,Medium to large—up to stand size,Low,"Low to high, mostly low (higher with well-developed shrub understory)","Low to high, mostly low (higher with well-developed shrub understory)",Surface to passive crown,Ecological and fire characteristics vary regionally
Abies magnifica,Red fir forest and woodland,Forest & Woodland Alliance,Abies magnifica Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/8,Red fir series,"Abies concolor-Abies x shastensis forest alliance, Abies magnifica forest alliance, Abies magnifica-Abies concolor forest alliance, Abies x shastensis forest alliance","Mixed conifer-Fir, Klamath mixed conifer, Red fir, Subalpine conifers",Red fir forest,Red fir forest,Red fir,88.200.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Vancouverian Subalpine Forest,Vancouverian mesic montane coniferous forest and woodland,Tree; evergreen,Transient,Short,Wind,Stratification—winter,None,Fire-hardy; thick epidermis; low flammability,No,Medium,Medium (5-150 years),Summer-early fall,Small to large,Multiple,Multiple,Multiple,Multiple,"Klamath, Cascade, and North Coast ranges; Sierra Nevada"
Quercus chrysolepis (tree),Canyon live oak forest and woodland,Forest & Woodland Alliance,Quercus chrysolepis (tree) Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/79,Canyon live oak series,Quercus chrysolepis forest alliance,Canyon live oak,"Canyon live oak ravine forest, Canyon live oak forest",Mixed evergreen forest,Montane hardwood,71.050.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,"Trees, shrubs; evergreen",Transient,Short,Animal; gravity,None,Underground structures,Fire-hardy to fire-sensitive; high sprouter,No,Low to medium,Medium (5-100+ years),Summer-early fall,Medium,Moderate to high,Low to high,Low to high,Surface-passive crown to passive-active crown,Cismontane California
Quercus agrifolia,Coast live oak woodland and forest,Forest & Woodland Alliance,Quercus agrifolia Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/78,Coast live oak series,Quercus agrifolia woodland alliance,"Coastal mixed hardwood, Coast live oak","Central Coast live oak riparian forest, Southern Coast live oak riparian forest, Coast live oak woodland, Coast live oak forest","Foothill woodland, Southern oak woodland",Coastal oak woodland,71.060.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,Tree; evergreen,Transient,Short,Animal; gravity,None,Buds on large branches or trunks; underground structures?,Fire-hardy; thick epidermis; low flammability; high sprouter,No,Low to medium; episodic,Medium (30-100+ yrs),Summer-early fall,"Medium to large; up to or beyond stand size (highly variable, depends on surrounding vegetation)",Low to high,Low to high,Low to high,Surface; passive crown; passive-active crown,"North Coast, Central Coast, southern California"
Pseudotsuga menziesii - Notholithocarpus densiflorus,Douglas fir - tanoak forest and woodland,Forest & Woodland Alliance,Pseudotsuga menziesii - Notholithocarpus densiflorus Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/76,Douglas fir-tanoak series,Pseudotsuga menziesii-Lithocarpus densiflorus forest alliance,"Pacific Douglas-fir, Tanoak","Mixed evergreen forest, Tan-oak forest, Upland douglas-fir forest",Douglas fir forest,Douglas fir,82.500.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Californian-Vancouverian Montane and Foothill Forest,Vancouverian evergreen broadleaf and mixed forest,Tree; evergreen,Transient,Short,Animal; gravity,None,Buds on large branches or trunks; underground structures,Fire-hardy; high sprouter,No,Low,Low to moderate,Summer-early fall,Small to large,Multiple,Multiple,Multiple,Multiple,"Klamath Mountains, North Coast, Sierra Nevada"
Pseudotsuga menziesii - Calocedrus decurrens,Douglas fir - incense cedar forest and woodland,Forest & Woodland Alliance,Pseudotsuga menziesii - Calocedrus decurrens Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/75,Douglas fir series,Calocedrus decurrens-Pseudotsuga menziesii forest alliance,"Pacific Douglas-fir, Klamath mixed conifer, Mixed conifer-Pine","Coast range mixed coniferous forest, Sierran mixed coniferous forest",Yellow pine forest,Sierran mixed conifer,82.600.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Californian-Vancouverian Montane and Foothill Forest,Upland Vancouverian mixed woodland and forest,Tree; evergreen,Transient,Short,Wind,Stratification—winter,None,Fire-hardy; thick epidermis; low flammability; canopy architecture resistant,No,Episodic; high,Short to medium (5-50 years),Summer-early fall,Small to medium,Low to moderate,Low to moderate,Low to moderate,Surface to passive crown,Klamath and North Coast ranges
Pseudotsuga menziesii,Douglas fir forest and woodland,Forest & Woodland Alliance,Pseudotsuga menziesii Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/74,Douglas fir series,Pseudotsuga menziesii forest alliance,Pacific Douglas-fir,"Upland douglas-fir forest, Coast range mixed coniferous forest",Douglas fir forest,Douglas fir,82.200.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Californian-Vancouverian Montane and Foothill Forest,Upland Vancouverian mixed woodland and forest,Tree; evergreen,Transient,Short,Animal; gravity; wind,None,None,Fire-hardy; thick epidermis; canopy architecture resistant,No,Low to high,Short to medium,Summer-early fall,Small to large,Multiple,Multiple,Multiple,Surface to passive crown,"Klamath, Cascade, and Coast ranges, Sierra Nevada"
Pseudotsuga macrocarpa,Bigcone Douglas fir forest,Forest Alliance,Pseudotsuga macrocarpa Forest Alliance,https://vegetation.cnps.org/alliance/73,"Bigcone Douglas fir series, Bigcone Douglas fir-canyon live oak series","Pseudotsuga macrocarpa forest alliance, Pseudotsuga macrocarpa-Quercus chrysolepis forest alliance",Bigcone Douglas-fir,Bigcone spruce-canyon oak forest,Mixed evergreen forest,Montane hardwood-conifer,82.100.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Californian-Vancouverian Montane and Foothill Forest,Californian montane conifer forest,Tree; evergreen,Transient,Short,Animal; wind,Stratification—winter,Buds on large branches or trunks,Fire-hardy; high sprouter,No,Low,Long (70-200+ years),Summer-early fall,Small—up to and beyond stand size (stands are usually about 100 acres),Multiple,Multiple,Multiple,Multiple,"Central Coast, southern California"
Populus trichocarpa,Black cottonwood forest and woodland,Forest & Woodland Alliance,Populus trichocarpa Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/70,Black cottonwood series,"Populus balsamifera ssp. trichocarpa temporarily flooded forest alliance, Populus balsamifera ssp. trichocarpa temporarily flooded woodland alliance",Black cottonwood,"North Coast black cottonwood riparian forest, Montane black cottonwood riparian forest",Not treated,"Montane riparian, Valley foothill riparian",61.120.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Flooded and Swamp Forest,Western Cordilleran montane-boreal riparian scrub,Vancouverian riparian deciduous forest,Tree; winter deciduous,Transient,Short,Water/hydrological; wind,Inundation? (moisture),Stems; underground structures (root crown),High sprouter,No,High,Medium to long,Summer-early fall,Small to medium,Medium to high,Low to moderate,Moderate to high,Surface to passive crown,
Abies lasiocarpa,Subalpine fir forest and woodland,Forest & Woodland Alliance,Abies lasiocarpa Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/7,Subalpine fir series,Abies lasiocarpa seasonally flooded forest alliance,Klamath mixed conifer,Salmon-Scott enriched coniferous forest,Subalpine forest,Klamath mixed conifer,88.400.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Rocky Mountain Subalpine and High Montane Conifer Forest,Rocky Mountain mesic subalpine forest and woodland,Tree; evergreen,Transient,Short,Animal; wind,Stratification—winter,Buds on small branches,Fire-sensitive; thin epidermis; fire/disturbance high flammability; no/low sprouter; canopy architecture susceptible,No,Episodic (substrate dependant),Truncated long,Late summer (short),Small,Low to moderate,Multiple,High,Surface-passive crown,Klamath Mountains
Populus tremuloides,Aspen groves,Forest & Woodland Alliance,Populus tremuloides Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/69,Aspen series,"Abies concolor-Populus tremuloides forest alliance, Populus tremuloides forest alliance, Populus tremuloides seasonally flooded forest alliance, Populus tremuloides temporarily flooded forest alliance, Populus tremuloides woodland alliance","Aspen (shrub), Quaking aspen, Willow-Aspen","Aspen riparian forest, Aspen forest",Not treated,Aspen,61.111.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Rocky Mountain Subalpine and High Montane Conifer Forest,Rocky Mountain mesic subalpine forest and woodland,Tree; winter deciduous,Transient,Short,Wind,None,Underground structures,Fire-hardy; high sprouter,Yes,Low,Medium (10-100 years),Summer-early fall,Small to medium (dependant on topography and adjacent alliances),Moderate to high,Low to moderate,Low to high,Surface fire,"Cascades, Modoc Plateau, Sierra Nevada"
Populus fremontii - Fraxinus velutina - Salix gooddingii,Fremont cottonwood forest and woodland,Forest & Woodland Alliance,Populus fremontii - Fraxinus velutina - Salix gooddingii Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/68,Fremont cottonwood series,"Populus fremontii seasonally flooded woodland alliance, Populus fremontii temporarily flooded forest alliance, Populus fremontii temporarily flooded woodland alliance",Fremont cottonwood,"Central Coast cottonwood-sycamore riparian forest, Southern cottonwood-willow riparian forest, Great Valley cottonwood riparian forest, Great Valley mixed riparian forest, Modoc-Great Basin cottonwood-willow riparian forest, Mojave riparian forest, Sonoran cottonwood-willow riparian forest",Not treated,"Desert riparian, Montane riparian, Valley foothill riparian",61.130.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Warm Temperate Flooded and Swamp Forest,"Southwestern North American Riparian, Flooded and Swamp Forest",Southwestern North American riparian evergreen and deciduous woodland,Tree; winter deciduous,Transient,Short,Gravity; water/hydrological; wind,None,Buds on small branches; buds on large branches or trunks; underground structures,Fire-sensitive; thin epidermis to fire-hardy; no/low sprouter,No,High,Medium,Late summer-fall,Less than stand size or larger,High,Low to high,Low to high,Passive crown fire,Sierra Nevada foothills
Platanus racemosa - Quercus agrifolia,California sycamore - coast live oak riparian woodlands,Woodland Alliance,Platanus racemosa - Quercus agrifolia Woodland Alliance,https://vegetation.cnps.org/alliance/67,California sycamore series,Platanus racemosa temporarily flooded woodland alliance,California sycamore,"Central Coast cottonwood-sycamore riparian forest, Sycamore alluvial woodland, Southern sycamore-alder riparian woodland",Not treated,Valley foothill riparian,61.310.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Warm Temperate Flooded and Swamp Forest,"Southwestern North American Riparian, Flooded and Swamp Forest",Southwestern North American riparian evergreen and deciduous woodland,Tree; winter deciduous,Transient,Short,Water/hydrological; wind,Stratification—winter,Buds on large branches or trunks; underground structures,Fire-sensitive; thin epidermis; (sensitive to anthracnose),No,Episodic,Short to medium (partly dependent on neighboring alliances),Summer-early fall,Medium; up to stand size,Low to moderate,Low to moderate,Low to high,Surface,Sierra Nevada and foothills
Pinus torreyana,Torrey pine woodland,Woodland Alliance,Pinus torreyana Woodland Alliance,https://vegetation.cnps.org/alliance/65,Torrey pine stands,Not treated,Torrey pine,Torrey pine forest,Not treated,Closed-cone pine-cypress,87.190.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian evergreen coniferous forest and woodland,Tree; evergreen,Canopy,Long,Animal; gravity,Heat; stratification—winter,None,Fire-sensitive; canopy architecture susceptible,No,Episodic (disturbance dependent),Medium to long (20-100),Summer-early fall,Small to large,Low to high,Low to high,Multiple,Multiple,Southern California
Pinus sabiniana,Foothill pine woodland,Woodland Alliance,Pinus sabiniana Woodland Alliance,https://vegetation.cnps.org/alliance/64,"Foothill pine series, Stands on San Benito Mountain",Pinus sabiniana woodland alliance,Gray pine,"Serpentine digger pine-chaparral woodland, Non-serpentine digger pine-chaparral woodland",Foothill woodland,Blue oak-foothill pine,87.130.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian evergreen coniferous forest and woodland,Tree; evergreen,Canopy; transient,Medium to long,Animal; gravity; water/hydrological; wind,Heat; stratification—winter,None,Fire-sensitive; high flammability; no/low sprouter,No,Medium to high,Medium,Summer-early fall,Medium to large,Low to moderate,Low to high,Moderate to high,Surface to passive crown,"Klamath Mountains, Cascades, Sierra Nevada, Central Coast, North Coast"
Pinus quadrifolia,Parry pinyon woodland,Woodland Alliance,Pinus quadrifolia Woodland Alliance,https://vegetation.cnps.org/alliance/62,Parry pinyon series,Pinus quadrifolia woodland alliance,Four-needle pinyon pine,"Peninsular piñon woodland, Peninsular juniper woodland and scrub",Pinyon-juniper woodland,Pinyon-juniper,87.030.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian evergreen coniferous forest and woodland,Tree; evergreen,Soil,Medium,Animal,None; stratification—winter,None,Fire-sensitive; thin epidermis; high flammability; no/low sprouter; canopy architecture susceptible,No,Medium to high,Truncated long,Summer-early fall,Medium to large,Low to moderate,Moderate to high,High to very high,Passive-active crown fire,Peninsular Ranges
Grindelia (stricta),Gum plant patches,Provisional Herbaceous Alliance,Grindelia (stricta) Provisional Herbaceous Alliance,https://vegetation.cnps.org/alliance/612,Not treated,Not treated,"Pickleweed-Cordgrass, Wet grasses and forbs","Northern coastal salt marsh, Coastal brackish marsh, Cismontane alkali marsh",Coastal salt marsh,Saline emergent wetland,52.216.00,,,,,,,,,,,,,,,,,,,,,,,
Deschampsia cespitosa - Festuca rubra Brackish Salt Marsh,Tufted hairgrass - Red fescue brackish salt marsh,Provisional Herbaceous Alliance,Deschampsia cespitosa - Festuca rubra Brackish Salt Marsh Provisional Herbaceous Alliance,https://vegetation.cnps.org/alliance/604,Not treated,Deschampsia caespitosa tidal herbaceous alliance,Pickleweed-Cordgrass,Northern coastal salt marsh,Coastal salt marsh,Saline emergent wetland,41.205.00,,,,,,,,,,,,,,,,,,,,,,,
